公開,
見出し,後半速報
説明文,IN5ホール時点の速報ランキングをお届けします。
更新時刻,7/23 14:00
表示数,10
順位,チーム名,ポイント,成立ホール
1,34組,+45,14
2,26組,+40,14
3,28組,+37,14
4,21組,+36,14
5,13組,+35,14
6,31組,+33,14
6,22組,+33,14
8,18組,+32,14
9,9組,+31,14
10,2組,+30,14
11,23組,+29,14
12,1組,+28,14
13,7組,+26,14
14,8組,+25,14
15,25組,+23,14
15,5組,+23,14
17,27組,+20,14
18,32組,+18,14
19,14組,+16,14
20,29組,+15,14
21,4組,+12,14
22,3組,+10,14
23,20組,+9,14
24,30組,+7,14
25,15組,+5,14
26,24組,+4,14
27,11組,+3,14
28,33組,+2,14
29,17組,0,14
30,10組,-1,14
31,19組,-2,14
32,6組,-3,14
33,16組,-5,14
34,12組,-6,14
